relation_id,source_type,source_id,relation_type,target_type,target_id
76,disease,799,supports,symptom,17
77,acupoint,596,treats,disease,547
78,acupoint,269,supports,disease,52
79,disease,501,supports,symptom,421
80,symptom,97,related_to,acupoint,467
81,symptom,536,related_to,disease,218
82,disease,53,related_to,symptom,385
83,acupoint,556,related_to,symptom,360
84,disease,263,related_to,disease,135
85,symptom,398,treats,disease,567
86,acupoint,377,supports,disease,711
87,acupoint,532,related_to,symptom,765
88,symptom,585,treats,acupoint,153
89,disease,487,supports,acupoint,591
90,acupoint,12,supports,disease,343
91,acupoint,715,related_to,symptom,576
92,disease,21,related_to,acupoint,373
93,disease,771,related_to,acupoint,346
94,acupoint,234,supports,acupoint,455
95,disease,436,supports,symptom,252
96,acupoint,28,related_to,disease,661
97,disease,682,treats,acupoint,415
98,disease,718,treats,symptom,139
99,acupoint,753,treats,disease,421
100,disease,589,supports,disease,795
101,acupoint,630,treats,symptom,463
102,symptom,663,supports,disease,337
103,acupoint,515,related_to,symptom,613
104,acupoint,397,related_to,acupoint,587
105,disease,210,related_to,symptom,174
106,symptom,528,supports,symptom,516
107,disease,410,treats,symptom,323
108,symptom,331,treats,symptom,653
109,disease,585,treats,acupoint,121
110,symptom,467,treats,disease,664
111,symptom,433,supports,acupoint,559
112,disease,700,supports,disease,31
113,disease,401,treats,acupoint,63
114,acupoint,412,treats,symptom,693
115,acupoint,486,treats,symptom,596
116,acupoint,786,supports,symptom,83
117,symptom,581,supports,acupoint,503
118,acupoint,576,treats,disease,720
119,disease,788,treats,acupoint,475
120,acupoint,469,supports,acupoint,547
121,disease,316,supports,disease,176
122,disease,602,related_to,acupoint,31
123,acupoint,736,supports,symptom,549
124,symptom,681,treats,acupoint,691
125,acupoint,335,related_to,symptom,656
126,symptom,709,treats,acupoint,290
127,disease,794,supports,symptom,429
128,disease,28,related_to,symptom,184
129,acupoint,632,related_to,symptom,450
130,acupoint,3,related_to,disease,622
131,symptom,167,related_to,acupoint,575
132,symptom,761,related_to,symptom,252
133,acupoint,715,treats,symptom,695
134,symptom,78,related_to,symptom,552
135,acupoint,425,related_to,symptom,6
136,disease,650,related_to,symptom,278
137,symptom,228,supports,acupoint,352
138,symptom,541,supports,acupoint,106
139,disease,667,related_to,symptom,741
140,symptom,146,supports,symptom,96
141,disease,2,treats,disease,794
142,acupoint,118,related_to,acupoint,614
143,acupoint,423,supports,disease,44
144,disease,50,treats,acupoint,526
145,symptom,553,treats,symptom,656
146,acupoint,466,treats,disease,154
147,symptom,170,supports,disease,564
148,acupoint,667,related_to,disease,540
149,disease,771,treats,symptom,20
150,disease,151,supports,symptom,676
151,symptom,348,supports,acupoint,657
152,symptom,479,supports,disease,91
153,acupoint,430,supports,acupoint,434
154,symptom,702,treats,symptom,615
155,disease,113,treats,disease,416
156,disease,136,treats,symptom,34
157,symptom,137,treats,acupoint,640
158,acupoint,468,treats,symptom,776
159,acupoint,432,treats,symptom,271
160,disease,276,treats,disease,610
161,disease,646,supports,acupoint,658
162,disease,343,supports,symptom,497
163,acupoint,84,treats,acupoint,754
164,symptom,303,supports,symptom,147
165,disease,167,supports,disease,221
166,disease,611,treats,symptom,93
167,acupoint,229,related_to,disease,255
168,acupoint,188,supports,disease,584
169,disease,415,supports,acupoint,256
170,symptom,386,supports,disease,1
171,acupoint,773,related_to,acupoint,385
172,disease,137,supports,disease,44
173,disease,364,treats,symptom,783
174,disease,262,supports,acupoint,717
175,symptom,451,related_to,disease,696
176,acupoint,249,related_to,symptom,279
177,symptom,560,treats,acupoint,361
178,symptom,584,related_to,disease,255
179,symptom,379,related_to,symptom,410
180,disease,156,treats,acupoint,237
181,disease,40,related_to,disease,475
182,symptom,795,supports,symptom,418
183,disease,600,treats,acupoint,382
184,symptom,318,supports,disease,683
185,acupoint,139,supports,acupoint,263
186,acupoint,620,supports,disease,189
187,acupoint,421,supports,symptom,132
188,acupoint,394,related_to,disease,75
189,disease,583,supports,disease,182
190,acupoint,354,related_to,symptom,605
191,symptom,674,treats,symptom,755
192,symptom,752,supports,acupoint,221
193,disease,770,supports,symptom,489
194,disease,570,supports,disease,728
195,disease,462,supports,acupoint,382
196,disease,13,related_to,acupoint,253
197,disease,538,treats,acupoint,536
198,disease,623,treats,acupoint,336
199,acupoint,618,supports,symptom,195
200,symptom,87,treats,acupoint,413
201,acupoint,31,treats,acupoint,297
202,disease,51,supports,symptom,716
203,disease,409,treats,symptom,742
204,symptom,69,related_to,symptom,668
205,symptom,233,treats,disease,749
206,symptom,73,treats,disease,122
207,acupoint,210,supports,symptom,508
208,disease,156,supports,symptom,482
209,acupoint,34,supports,symptom,554
210,disease,660,related_to,symptom,393
211,disease,164,supports,symptom,715
212,acupoint,304,treats,disease,636
213,symptom,665,treats,acupoint,532
214,acupoint,240,related_to,acupoint,32
215,symptom,497,related_to,disease,624
216,acupoint,638,related_to,symptom,636
217,disease,129,supports,symptom,35
218,symptom,379,related_to,symptom,135
219,acupoint,88,related_to,symptom,374
220,acupoint,644,treats,disease,631
221,disease,419,treats,symptom,441
222,symptom,342,related_to,acupoint,776
223,symptom,751,supports,disease,7
224,disease,254,related_to,disease,264
225,acupoint,728,treats,disease,231
226,acupoint,673,treats,disease,677
227,symptom,324,related_to,acupoint,14
228,acupoint,509,related_to,disease,202
229,symptom,174,treats,disease,359
230,acupoint,232,related_to,acupoint,776
231,symptom,781,supports,acupoint,47
232,acupoint,712,related_to,symptom,763
233,symptom,612,supports,acupoint,605
234,acupoint,529,related_to,acupoint,216
235,disease,42,treats,disease,750
236,acupoint,301,related_to,disease,460
237,disease,564,supports,acupoint,799
238,disease,506,related_to,acupoint,455
239,symptom,548,related_to,acupoint,794
240,acupoint,323,treats,acupoint,709
241,disease,424,related_to,acupoint,797
242,symptom,74,related_to,symptom,35
243,symptom,571,related_to,acupoint,495
244,symptom,245,supports,acupoint,552
245,symptom,356,treats,disease,361
246,disease,198,related_to,acupoint,620
247,acupoint,572,related_to,symptom,2
248,disease,355,supports,symptom,81
249,symptom,755,treats,disease,463
250,disease,278,supports,symptom,402
251,symptom,375,treats,symptom,683
252,acupoint,408,treats,symptom,504
253,disease,3,treats,disease,12
254,symptom,252,treats,symptom,319
255,disease,320,treats,symptom,283
256,acupoint,780,treats,symptom,729
257,symptom,154,treats,acupoint,553
258,acupoint,698,treats,symptom,392
259,disease,788,treats,symptom,749
260,acupoint,245,supports,disease,558
261,symptom,409,supports,disease,644
262,symptom,762,treats,symptom,456
263,symptom,554,treats,acupoint,402
264,disease,162,supports,symptom,347
265,acupoint,392,related_to,symptom,448
266,symptom,615,treats,acupoint,740
267,acupoint,351,supports,disease,136
268,acupoint,57,treats,symptom,480
269,disease,270,treats,symptom,520
270,acupoint,781,related_to,disease,44
271,symptom,738,supports,symptom,495
272,acupoint,611,treats,acupoint,696
273,symptom,121,supports,symptom,630
274,acupoint,554,supports,symptom,645
275,disease,228,treats,acupoint,205
276,symptom,149,related_to,disease,103
277,acupoint,344,supports,disease,567
278,disease,575,treats,disease,167
279,disease,247,treats,symptom,123
280,acupoint,609,supports,disease,34
281,disease,466,supports,symptom,163
282,acupoint,19,related_to,acupoint,616
283,disease,695,treats,disease,489
284,disease,373,supports,disease,304
285,disease,744,supports,acupoint,545
286,symptom,696,treats,symptom,202
287,acupoint,455,treats,disease,400
288,symptom,76,supports,symptom,348
289,symptom,250,supports,disease,432
290,disease,397,related_to,acupoint,418
291,acupoint,255,related_to,symptom,778
292,symptom,385,treats,disease,238
293,acupoint,142,supports,disease,76
294,symptom,548,related_to,acupoint,133
295,disease,498,supports,disease,7
296,acupoint,398,supports,disease,50
297,disease,54,related_to,acupoint,43
298,disease,406,treats,disease,9
299,disease,46,treats,symptom,544
300,symptom,90,supports,symptom,440
301,disease,9,supports,symptom,602
302,acupoint,12,treats,symptom,45
303,symptom,122,treats,acupoint,759
304,acupoint,655,treats,acupoint,374
305,acupoint,24,supports,disease,348
306,acupoint,706,treats,disease,776
307,disease,583,related_to,symptom,612
308,disease,237,treats,symptom,665
309,acupoint,402,treats,acupoint,639
310,symptom,547,related_to,acupoint,137
311,disease,358,related_to,disease,678
312,disease,264,related_to,symptom,605
313,acupoint,45,related_to,disease,766
314,symptom,620,related_to,symptom,293
315,disease,231,supports,acupoint,128
316,symptom,17,supports,symptom,124
317,symptom,562,supports,disease,357
318,symptom,359,supports,acupoint,291
319,disease,781,related_to,disease,416
320,acupoint,172,supports,symptom,380
321,acupoint,127,related_to,symptom,507
322,acupoint,323,supports,disease,390
323,acupoint,241,related_to,acupoint,431
324,acupoint,318,supports,disease,32
325,disease,11,related_to,disease,656
326,acupoint,776,related_to,disease,17
327,acupoint,202,related_to,acupoint,375
328,symptom,374,treats,acupoint,384
329,acupoint,698,treats,acupoint,452
330,acupoint,696,supports,symptom,93
331,disease,509,treats,disease,434
332,acupoint,356,supports,disease,586
333,acupoint,383,treats,acupoint,262
334,disease,77,treats,acupoint,605
335,disease,315,related_to,symptom,272
336,acupoint,727,related_to,disease,750
337,symptom,375,treats,acupoint,697
338,disease,712,related_to,symptom,56
339,disease,741,related_to,acupoint,587
340,symptom,82,supports,symptom,653
341,symptom,545,related_to,disease,762
342,disease,736,related_to,symptom,220
343,disease,339,related_to,acupoint,568
344,acupoint,200,related_to,symptom,622
345,disease,271,supports,symptom,573
346,disease,406,supports,acupoint,384
347,symptom,480,treats,acupoint,249
348,symptom,711,related_to,disease,749
349,acupoint,556,related_to,acupoint,7
350,symptom,103,supports,acupoint,168
351,acupoint,618,related_to,disease,501
352,acupoint,223,treats,acupoint,707
353,symptom,619,supports,disease,218
354,symptom,137,treats,symptom,415
355,disease,266,treats,acupoint,575
356,acupoint,330,treats,acupoint,405
357,disease,386,supports,symptom,669
358,acupoint,265,treats,disease,485
359,acupoint,637,supports,acupoint,230
360,symptom,548,related_to,symptom,145
361,acupoint,140,treats,symptom,187
362,acupoint,590,treats,disease,706
363,acupoint,67,related_to,symptom,194
364,acupoint,780,treats,symptom,286
365,disease,142,treats,disease,507
366,symptom,73,supports,symptom,538
367,acupoint,623,treats,symptom,495
368,disease,329,treats,disease,276
369,symptom,351,treats,disease,59
370,disease,332,related_to,symptom,707
371,symptom,638,treats,acupoint,565
372,acupoint,128,treats,acupoint,734
373,disease,292,treats,acupoint,690
374,acupoint,189,related_to,symptom,743
375,acupoint,132,related_to,disease,479
376,disease,224,treats,acupoint,425
377,symptom,519,supports,acupoint,408
378,disease,306,supports,disease,29
379,disease,4,treats,symptom,371
380,acupoint,244,related_to,acupoint,344
381,symptom,321,treats,symptom,516
382,disease,139,supports,disease,87
383,symptom,39,supports,disease,726
384,disease,746,treats,acupoint,508
385,disease,19,supports,symptom,445
386,disease,777,related_to,symptom,172
387,disease,465,related_to,acupoint,381
388,symptom,3,related_to,acupoint,15
389,acupoint,251,supports,disease,196
390,symptom,679,related_to,symptom,414
391,disease,422,supports,acupoint,290
392,symptom,459,related_to,disease,610
393,disease,662,supports,acupoint,107
394,symptom,223,supports,symptom,789
395,symptom,696,related_to,symptom,589
396,symptom,726,related_to,symptom,80
397,disease,614,supports,symptom,438
398,acupoint,604,supports,symptom,323
399,disease,15,related_to,symptom,720
400,symptom,213,treats,disease,794
401,disease,304,treats,acupoint,135
402,symptom,228,supports,disease,391
403,acupoint,134,treats,acupoint,736
404,symptom,600,supports,symptom,667
405,acupoint,677,treats,disease,631
406,disease,576,related_to,acupoint,258
407,acupoint,5,supports,acupoint,187
408,symptom,462,related_to,symptom,716
409,acupoint,141,treats,symptom,544
410,symptom,312,related_to,disease,177
411,symptom,166,related_to,disease,733
412,disease,765,supports,symptom,504
413,acupoint,526,supports,symptom,145
414,acupoint,210,related_to,symptom,659
415,symptom,665,related_to,acupoint,338
416,symptom,560,related_to,acupoint,398
417,symptom,51,related_to,symptom,79
418,symptom,205,supports,symptom,262
419,symptom,658,related_to,disease,314
420,disease,766,supports,symptom,550
421,disease,401,treats,symptom,333
422,symptom,439,supports,disease,639
423,disease,581,related_to,acupoint,695
424,symptom,248,treats,symptom,456
425,acupoint,207,related_to,acupoint,52
426,symptom,61,supports,acupoint,428
427,acupoint,394,related_to,acupoint,8
428,acupoint,429,related_to,disease,327
429,symptom,461,supports,symptom,417
430,disease,339,related_to,symptom,536
431,disease,331,related_to,disease,506
432,disease,103,treats,disease,482
433,disease,282,treats,acupoint,54
434,disease,537,related_to,disease,534
435,disease,544,treats,disease,700
436,acupoint,366,treats,disease,392
437,disease,262,related_to,acupoint,158
438,acupoint,263,related_to,disease,71
439,symptom,603,supports,disease,304
440,acupoint,148,treats,acupoint,542
441,disease,548,related_to,acupoint,525
442,acupoint,326,related_to,acupoint,748
443,acupoint,464,treats,acupoint,419
444,acupoint,47,supports,disease,275
445,acupoint,218,supports,symptom,422
446,acupoint,178,treats,symptom,341
447,symptom,50,supports,symptom,754
448,symptom,229,treats,symptom,796
449,disease,765,treats,acupoint,276
450,symptom,593,treats,symptom,789
451,disease,654,treats,symptom,488
452,symptom,497,supports,disease,139
453,disease,345,treats,symptom,276
454,acupoint,215,related_to,disease,625
455,disease,540,treats,disease,326
456,acupoint,476,treats,disease,772
457,disease,770,supports,disease,307
458,symptom,15,supports,disease,511
459,symptom,655,treats,symptom,258
460,symptom,20,related_to,symptom,644
461,symptom,47,treats,symptom,443
462,acupoint,173,supports,symptom,257
463,disease,151,supports,acupoint,239
464,acupoint,363,supports,symptom,782
465,acupoint,341,supports,disease,626
466,acupoint,480,treats,disease,158
467,acupoint,233,treats,symptom,762
468,disease,681,related_to,disease,293
469,symptom,448,related_to,disease,625
470,disease,117,supports,disease,69
471,symptom,436,supports,disease,704
472,symptom,739,treats,acupoint,4
473,symptom,535,supports,acupoint,621
474,disease,657,supports,disease,714
475,symptom,284,treats,symptom,431
476,acupoint,251,supports,acupoint,173
477,disease,32,supports,symptom,370
478,symptom,562,related_to,symptom,638
479,disease,170,related_to,disease,493
480,disease,529,treats,acupoint,455
481,acupoint,717,treats,disease,413
482,acupoint,605,treats,symptom,658
483,symptom,89,related_to,acupoint,543
484,acupoint,480,supports,symptom,154
485,disease,798,treats,disease,371
486,disease,577,related_to,disease,638
487,symptom,608,treats,disease,157
488,acupoint,137,related_to,symptom,148
489,acupoint,670,related_to,acupoint,462
490,symptom,515,supports,acupoint,156
491,acupoint,234,related_to,symptom,587
492,acupoint,37,supports,disease,324
493,disease,732,supports,symptom,654
494,disease,57,supports,symptom,288
495,disease,458,supports,disease,721
496,disease,73,supports,disease,431
497,disease,322,related_to,acupoint,608
498,symptom,80,supports,symptom,640
499,symptom,41,related_to,symptom,216
500,disease,527,treats,disease,598
501,acupoint,329,related_to,symptom,60
502,symptom,595,related_to,disease,523
503,symptom,781,supports,symptom,400
504,acupoint,415,supports,acupoint,518
505,disease,564,supports,disease,421
506,acupoint,538,treats,acupoint,18
507,symptom,491,related_to,acupoint,155
508,acupoint,608,related_to,symptom,112
509,acupoint,118,supports,symptom,618
510,acupoint,648,related_to,symptom,91
511,symptom,560,treats,acupoint,581
512,symptom,553,supports,symptom,397
513,symptom,781,treats,symptom,786
514,acupoint,28,supports,disease,8
515,disease,398,supports,symptom,38
516,acupoint,49,related_to,symptom,136
517,acupoint,493,treats,symptom,569
518,acupoint,397,supports,symptom,237
519,acupoint,282,supports,symptom,679
520,disease,678,related_to,symptom,466
521,acupoint,249,supports,disease,46
522,disease,503,related_to,disease,524
523,symptom,424,supports,symptom,231
524,acupoint,347,related_to,symptom,457
525,acupoint,499,related_to,acupoint,758
526,acupoint,785,treats,symptom,224
527,acupoint,331,related_to,disease,648
528,acupoint,698,related_to,disease,693
529,acupoint,367,treats,symptom,96
530,symptom,490,supports,symptom,692
531,symptom,228,supports,disease,728
532,disease,270,treats,disease,377
533,symptom,551,treats,acupoint,79
534,disease,66,related_to,disease,53
535,symptom,719,treats,acupoint,233
536,symptom,331,treats,acupoint,411
537,symptom,455,treats,disease,643
538,disease,796,supports,symptom,77
539,symptom,39,supports,symptom,449
540,disease,633,related_to,symptom,55
541,acupoint,238,supports,disease,797
542,symptom,274,related_to,disease,525
543,disease,270,related_to,disease,589
544,disease,26,treats,disease,744
545,disease,306,treats,acupoint,443
546,acupoint,138,supports,disease,492
547,acupoint,777,related_to,symptom,678
548,acupoint,122,related_to,symptom,511
549,disease,464,supports,acupoint,616
550,symptom,686,treats,symptom,450
551,acupoint,107,supports,disease,573
552,symptom,214,supports,acupoint,140
553,symptom,91,related_to,symptom,378
554,symptom,678,related_to,symptom,168
555,acupoint,233,treats,disease,93
556,disease,755,related_to,acupoint,564
557,disease,642,supports,disease,551
558,acupoint,598,related_to,disease,25
559,disease,213,related_to,disease,394
560,disease,727,related_to,disease,181
561,symptom,126,related_to,symptom,648
562,symptom,366,supports,disease,666
563,acupoint,643,related_to,disease,759
564,symptom,118,related_to,acupoint,453
565,acupoint,345,treats,acupoint,170
566,acupoint,526,supports,acupoint,415
567,symptom,566,treats,symptom,294
568,acupoint,234,related_to,disease,684
569,disease,396,supports,acupoint,723
570,symptom,262,supports,acupoint,711
571,disease,461,related_to,acupoint,754
572,acupoint,606,supports,acupoint,549
573,disease,296,supports,symptom,248
574,acupoint,790,treats,acupoint,435
575,symptom,357,supports,acupoint,589
576,symptom,662,supports,disease,725
577,acupoint,120,supports,acupoint,426
578,disease,464,related_to,acupoint,615
579,symptom,387,related_to,disease,446
580,acupoint,2,treats,disease,765
581,disease,247,related_to,acupoint,33
582,acupoint,132,treats,symptom,716
583,acupoint,276,supports,symptom,558
584,acupoint,75,treats,symptom,449
585,disease,568,treats,disease,500
586,disease,633,supports,acupoint,97
587,disease,464,supports,acupoint,336
588,acupoint,651,related_to,disease,414
589,acupoint,281,related_to,acupoint,632
590,acupoint,217,treats,disease,65
591,disease,312,related_to,disease,445
592,disease,144,related_to,acupoint,113
593,symptom,393,treats,disease,770
594,acupoint,389,treats,acupoint,582
595,symptom,769,related_to,symptom,659
596,disease,628,supports,disease,365
597,symptom,777,treats,symptom,188
598,disease,702,related_to,disease,270
599,acupoint,306,supports,acupoint,27
600,acupoint,561,related_to,acupoint,184
601,symptom,343,related_to,acupoint,747
602,symptom,214,related_to,disease,700
603,disease,563,related_to,disease,145
604,acupoint,547,supports,acupoint,587
605,acupoint,308,related_to,acupoint,240
606,acupoint,259,related_to,disease,388
607,symptom,757,supports,acupoint,383
608,symptom,494,related_to,symptom,203
609,acupoint,367,treats,acupoint,267
610,symptom,603,related_to,symptom,530
611,disease,604,related_to,acupoint,66
612,acupoint,705,treats,disease,15
613,symptom,330,related_to,acupoint,452
614,disease,667,related_to,disease,98
615,symptom,199,treats,symptom,542
616,disease,515,treats,acupoint,103
617,symptom,714,supports,disease,250
618,acupoint,320,treats,symptom,87
619,disease,95,treats,disease,235
620,disease,493,supports,disease,175
621,symptom,107,treats,disease,562
622,acupoint,562,related_to,acupoint,47
623,symptom,688,related_to,symptom,538
624,disease,434,related_to,acupoint,339
625,disease,55,related_to,symptom,562
626,symptom,3,treats,disease,593
627,symptom,203,treats,symptom,74
628,disease,270,treats,symptom,761
629,acupoint,13,related_to,acupoint,55
630,acupoint,200,treats,acupoint,515
631,disease,344,supports,symptom,344
632,symptom,20,supports,disease,142
633,acupoint,296,supports,acupoint,99
634,disease,158,treats,disease,419
635,disease,38,treats,disease,78
636,disease,328,supports,symptom,580
637,acupoint,20,treats,disease,435
638,acupoint,211,supports,symptom,145
639,acupoint,139,treats,disease,39
640,acupoint,328,treats,symptom,134
641,acupoint,681,treats,acupoint,382
642,disease,144,supports,acupoint,98
643,symptom,757,supports,acupoint,78
644,acupoint,777,treats,disease,548
645,disease,215,treats,symptom,104
646,acupoint,234,supports,acupoint,373
647,acupoint,530,related_to,acupoint,220
648,acupoint,250,supports,symptom,261
649,disease,422,supports,disease,342
650,acupoint,222,related_to,acupoint,513
651,disease,306,related_to,symptom,454
652,disease,6,treats,disease,598
653,symptom,441,related_to,acupoint,275
654,acupoint,764,treats,symptom,598
655,disease,254,related_to,disease,652
656,symptom,485,supports,acupoint,284
657,symptom,587,supports,symptom,641
658,disease,182,supports,disease,238
659,disease,415,treats,disease,705
660,acupoint,393,related_to,disease,341
661,symptom,68,related_to,disease,783
662,disease,162,related_to,acupoint,655
663,symptom,63,supports,disease,427
664,disease,108,related_to,disease,379
665,acupoint,256,related_to,symptom,715
666,disease,164,related_to,disease,797
667,disease,784,related_to,disease,737
668,disease,683,treats,disease,214
669,symptom,595,supports,symptom,717
670,disease,131,supports,symptom,565
671,disease,766,treats,acupoint,297
672,acupoint,725,related_to,disease,607
673,acupoint,305,treats,disease,487
674,acupoint,161,supports,disease,661
675,symptom,429,treats,symptom,641
676,symptom,230,related_to,disease,218
677,symptom,294,related_to,symptom,337
678,symptom,768,related_to,acupoint,685
679,symptom,27,related_to,acupoint,403
680,symptom,552,treats,disease,580
681,disease,605,supports,acupoint,631
682,symptom,771,supports,symptom,80
683,disease,99,related_to,acupoint,690
684,symptom,86,treats,disease,528
685,symptom,202,supports,disease,91
686,acupoint,251,treats,disease,214
687,disease,134,related_to,acupoint,483
688,symptom,171,treats,acupoint,281
689,symptom,629,related_to,disease,568
690,symptom,20,supports,acupoint,396
691,symptom,282,supports,acupoint,121
692,acupoint,126,related_to,disease,202
693,symptom,787,related_to,disease,407
694,acupoint,332,supports,disease,148
695,symptom,593,supports,acupoint,398
696,symptom,304,related_to,disease,211
697,acupoint,613,treats,disease,143
698,symptom,600,supports,symptom,308
699,acupoint,221,related_to,symptom,269
700,symptom,681,treats,symptom,113
701,acupoint,658,related_to,symptom,393
702,symptom,300,supports,disease,91
703,symptom,420,related_to,symptom,27
704,disease,699,supports,acupoint,224
705,disease,226,supports,acupoint,34
706,acupoint,399,treats,acupoint,359
707,symptom,29,treats,disease,795
708,symptom,253,supports,symptom,279
709,symptom,600,treats,acupoint,200
710,acupoint,238,related_to,disease,221
711,disease,682,related_to,disease,673
712,acupoint,703,related_to,symptom,103
713,disease,47,supports,symptom,708
714,disease,91,supports,acupoint,73
715,disease,506,supports,acupoint,39
716,acupoint,258,supports,acupoint,107
717,disease,11,related_to,symptom,671
718,symptom,605,supports,symptom,86
719,acupoint,49,related_to,symptom,166
720,acupoint,155,supports,symptom,428
721,disease,122,related_to,symptom,34
722,symptom,75,supports,symptom,41
723,acupoint,299,treats,acupoint,789
724,acupoint,265,supports,symptom,338
725,disease,567,related_to,acupoint,62
726,acupoint,327,treats,acupoint,436
727,acupoint,713,related_to,symptom,688
728,acupoint,498,supports,acupoint,211
729,symptom,392,treats,acupoint,332
730,disease,102,supports,acupoint,508
731,acupoint,209,treats,symptom,101
732,symptom,699,related_to,acupoint,139
733,disease,476,supports,acupoint,166
734,symptom,569,supports,acupoint,297
735,acupoint,123,treats,symptom,471
736,symptom,307,related_to,acupoint,497
737,symptom,77,supports,acupoint,447
738,disease,523,related_to,disease,390
739,disease,439,treats,symptom,74
740,acupoint,568,treats,acupoint,653
741,disease,309,supports,acupoint,674
742,disease,126,supports,disease,174
743,acupoint,657,treats,acupoint,357
744,disease,50,treats,symptom,244
745,acupoint,344,treats,disease,53
746,disease,612,supports,disease,678
747,acupoint,398,treats,disease,562
748,disease,353,related_to,acupoint,331
749,acupoint,776,supports,disease,758
750,disease,77,treats,acupoint,649
751,disease,290,related_to,symptom,67
752,symptom,478,supports,symptom,612
753,symptom,629,related_to,symptom,539
754,disease,437,related_to,symptom,290
755,symptom,584,supports,acupoint,60
756,acupoint,379,treats,symptom,644
757,symptom,749,related_to,disease,463
758,disease,680,related_to,acupoint,375
759,disease,797,supports,disease,150
760,acupoint,460,supports,symptom,89
761,disease,160,related_to,disease,137
762,symptom,371,related_to,disease,27
763,disease,392,treats,disease,24
764,symptom,44,treats,disease,670
765,disease,114,treats,acupoint,388
766,symptom,664,related_to,acupoint,267
767,acupoint,718,supports,disease,797
768,acupoint,6,treats,symptom,422
769,disease,555,supports,acupoint,689
770,disease,778,treats,disease,139
771,symptom,145,treats,disease,418
772,acupoint,197,supports,symptom,114
773,acupoint,360,supports,acupoint,144
774,acupoint,147,supports,acupoint,186
775,acupoint,570,treats,disease,14
776,symptom,285,related_to,disease,160
777,symptom,198,related_to,symptom,606
778,symptom,305,treats,acupoint,280
779,acupoint,40,supports,symptom,275
780,disease,620,treats,acupoint,382
781,acupoint,722,treats,acupoint,356
782,symptom,31,related_to,acupoint,327
783,disease,150,treats,symptom,544
784,symptom,135,treats,disease,297
785,acupoint,655,supports,symptom,369
786,disease,570,treats,symptom,778
787,disease,537,treats,acupoint,131
788,symptom,18,treats,acupoint,308
789,acupoint,637,related_to,symptom,338
790,acupoint,309,treats,symptom,341
791,acupoint,781,supports,acupoint,672
792,disease,295,related_to,symptom,420
793,disease,295,supports,symptom,132
794,symptom,38,treats,acupoint,657
795,symptom,691,supports,symptom,229
796,acupoint,395,treats,disease,510
797,symptom,658,supports,acupoint,690
798,acupoint,476,supports,symptom,792
799,acupoint,684,treats,acupoint,228
800,symptom,636,supports,symptom,456
801,disease,246,supports,disease,611
802,symptom,15,related_to,disease,566
803,disease,353,related_to,disease,607
804,symptom,314,supports,acupoint,558
